site_name,url,bias_rating,factual_reporting_rating
Democracy 21,democracy21.org,-16,HIGH
Democracy Chronicles,democracychronicles.org/author/tawfik,-24,HIGH
Democracy Guardian,democracyguardian.com,-28,MIXED
Democracy Now,democracynow.org,-22,HIGH
Democrat and Chronicle,democratandchronicle.com,-11,HIGH
Democratic Underground,democraticunderground.com,-28,MIXED
Demos,demos.org,-11,HIGH
Denver Post,denverpost.com,-14,HIGH
Deplorables Report,deplorablesreport.com,24,MIXED
Deseret News,deseretnews.com,15,HIGH
Desert Sun,desertsun.com,6,HIGH
DeSmog,desmogblog.com,-18,HIGH
Detroit Free Press,freep.com,-12,HIGH
Detroit News,detroitnews.com,12,HIGH
Die Hard Democrat,dieharddemocrat.com,-26,HIGH
Die Zeit,zeit.de/english/index,-9,HIGH
DifferenceBetween.net,differencebetween.net,0,VERY HIGH
Digg,digg.com,-9,HIGH
Digital Journal,digitaljournal.com,-2,HIGH
Disobedient Media,disobedientmedia.com,24,MIXED
Dissent Magazine,dissentmagazine.org,-23,HIGH
DiversityInc,diversityinc.com,-12,HIGH
Doctors Without Borders,doctorswithoutborders.org,-1,HIGH
Downsizing the Federal Government,downsizinggovernment.org,15,HIGH
DPA German Press Agency,dpa-international.com,-3,HIGH
Drudge Report,drudgereport.com,29,MIXED
Drudge Retort,drudge.com,-23,MIXED
Duluth News Tribune,duluthnewstribune.com,9,HIGH
Dutch Daily News,dutchdailynews.com,-13,HIGH
Dutch Review,dutchreview.com,-13,MIXED
DW News,dw.com/en/top-stories/s-9097,-14,HIGH
Eagle Tribune,eagletribune.com,1,HIGH
Earth First Journal,earthfirstjournal.org,-26,MIXED
Earth Institute,earth.columbia.edu/sections/view/9,-2,HIGH
EarthJustice,earthjustice.org,-17,HIGH
East Bay Times,eastbaytimes.com,-9,HIGH
Economic Policy Institute,epi.org,-13,HIGH
EconomicPolicyJournal.com,economicpolicyjournal.com,24,HIGH
Economics.Help,economicshelp.org,-13,HIGH
Economy In Crisis,economyincrisis.org,-24,MIXED
Edmonton Journal,edmontonjournal.com,-10,HIGH
Edmonton Sun,edmontonsun.com,15,HIGH
EgbertoWillies,egbertowillies.com,-28,HIGH
Egyptian Streets,egyptianstreets.com,-12,MIXED
EJ Insight (EJI),ejinsight.com,-5,HIGH
El Pais,elpais.com/elpais/inenglish.html,-13,HIGH
El Paso Times,elpasotimes.com,-8,HIGH
Electoral-Vote.com,electoral-vote.com,-19,HIGH
Electronic Frontier Foundation,eff.org,-8,HIGH
Electronic Intifada,electronicintifada.net,-25,HIGH
Elisabeth Parker,elisabethparker.com,-26,HIGH
Elite Daily,elitedaily.com,-19,MIXED
Elko Daily Free Press,elkodaily.com,1,HIGH
Emirates 24/7,emirates247.com,-11,HIGH
Empty Wheel,emptywheel.net,-15,HIGH
Energy Citizens,energycitizens.org,27,MIXED
Engadget,engadget.com,-12,HIGH
Erie Times-News,goerie.com,-4,HIGH
ERR News (Estonia Public Broadcasting),news.err.ee,1,HIGH
Esquire Magazine,esquire.com,-22,HIGH
Ethics & Religious Liberty Commission (ERLC),erlc.com,28,MIXED
Ethics and Public Policy Center (EPPC),eppc.org,15,HIGH
EU Observer,euobserver.com,-11,HIGH
Euractiv,euractiv.com,-17,MIXED
Eurasia Group,eurasiagroup.net,-3,HIGH
Eurasia Review,eurasiareview.com,-4,HIGH
Euronews,euronews.com,-4,HIGH
Every CRS Report,everycrsreport.com,0,VERY HIGH
Everyday Feminism,everydayfeminism.com,-21,HIGH
Evonomics,evonomics.com,-23,HIGH
Exposing the Truth,exposingtruth.com,-10,HIGH
ExtraNewsFeed,extranewsfeed.com,-25,MIXED
Fact / Myth,factmyth.com,-9,HIGH
Factbox.TV,factbox.tv,-15,HIGH
FactCheck,factcheck.org,-1,VERY HIGH
Facts and Logic About the Middle East (FLAME),factsandlogic.org,28,MIXED
FactsCan,factscan.ca,-1,VERY HIGH
Factwire News Agency,factwire.org/english,-1,HIGH
Fair Observer,fairobserver.com,-3,HIGH
Fairness & Accuracy in Reporting (FAIR),fair.org,-14,HIGH
FairVote,fairvote.org,-9,HIGH
Faith Family America,faithfamilyamerica.com,13,HIGH
FaithWire,faithwire.com,27,MIXED
Family Security Matters,familysecuritymatters.org,26,MIXED
Far Left Watch,farleftwatch.com,29,HIGH
Fast Company Magazine,fastcompany.com,-11,HIGH
Federal News Radio,federalnewsradio.com,-1,HIGH
Federal Times,federaltimes.com,0,HIGH
Federalist Press,federalistpress.com,30,MIXED
Federalist Society,fedsoc.org,26,MIXED
Feminist Current,feministcurrent.com,-19,HIGH
Feminist Frequency,feministfrequency.com,-8,HIGH
Feministing,feministing.com,-25,HIGH
Fifth Estate,fifthestate.org,-22,HIGH
Fight for the Future,fightforthefuture.org,-14,HIGH
Filming Cops,filmingcops.com,-24,HIGH
Financial Express,financialexpress.com,2,HIGH
Financial Post,financialpost.com,10,HIGH
Financial Times,ft.com,1,HIGH
First Draft News,firstdraftnews.org,-3,HIGH
First in Freedom Daily,firstinfreedomdaily.com,28,MIXED
First Post,firstpost.com,-22,HIGH
First Things Magazine,firstthings.com,23,MIXED
FitsNews,fitsnews.com,13,HIGH
FiveThirtyEight,fivethirtyeight.com,-8,HIGH
Florida Times-Union,jacksonville.com,10,HIGH
Forbes,forbes.com,14,MIXED
Foreign Affairs,foreignaffairs.com,5,HIGH
Foreign Policy in Focus,fpif.org,-10,HIGH
Foreign Policy Initiative,foreignpolicyi.org,12,HIGH
Foreign Policy Journal,foreignpolicyjournal.com,-26,MIXED
Foreign Policy News,foreignpolicynews.org,-23,MIXED
Foreign Policy Research Institute,fpri.org,10,VERY HIGH
Foreign Policy,foreignpolicy.com,3,HIGH
Fort Bend Herald,fbherald.com,13,HIGH
Fort Worth Star-Telegram,star-telegram.com,10,HIGH
Fort Worth Star-Telegram,star-telegram.com,10,HIGH
Fort Worth Weekly,fwweekly.com,-14,HIGH
Fortnightly Review,fortnightlyreview.co.uk,15,HIGH
Fortune Magazine,fortune.com,8,HIGH
Forward Progressives,forwardprogressives.com,-26,HIGH
Foundation for Defense of Democracies,defenddemocracy.org,21,HIGH
Foundation for Economic Education,fee.org,12,HIGH
Fox News,foxnews.com,24,MIXED
France24,france24.com,-13,HIGH
France24,france24.com/en,-13,HIGH
Franklin Center for Government and Public Integrity,franklincenterhq.org,15,MIXED
Fraser Institute,fraserinstitute.org,13,HIGH
Freakonomics Radio,freakonomics.com,-10,HIGH
Free Press,freepress.org,-27,HIGH
Free Press,freepress.net,-15,HIGH
Free Rein News,frnewsreport.com,-28,HIGH
Free Republic,freerepublic.com,27,MIXED
Free West Media,freewestmedia.com,26,MIXED
Free Wheel Media,freewheelus.com,-12,HIGH
Freedom Crossroads,freedomcrossroads.com,26,MIXED
Freedom From Religion Foundation (FFRF),ffrf.org,-1,HIGH
Freedom House,freedomhouse.org,10,HIGH
Freedom News and Journal,freedomnews.org.uk,-27,HIGH
Freedom Works,freedomworks.org,26,MIXED
Fresno Bee,fresnobee.com,-11,HIGH
Frontiers of Freedom,ff.org,24,MIXED
FStv (freespeech.org),freespeech.org,-19,HIGH
Full Fact (UK),fullfact.org,-5,VERY HIGH
Fusion,fusion.kinja.com,-16,MIXED
Future in America,futureinamerica.com/news,30,MIXED
Gallup,gallup.com/home.aspx,-2,VERY HIGH
Gatestone Institute,gatestoneinstitute.org,28,MIXED
Gay Star News,gaystarnews.com,-15,HIGH
GBTimes,gbtimes.com,-2,HIGH
Gears of Biz,gearsofbiz.com,-4,HIGH
Geopolitics Alert,geopoliticsalert.com,-13,HIGH
Get Religion,getreligion.org,26,MIXED
Gizmodo,gizmodo.com,-20,HIGH
Glamour Magazine,glamour.com,-14,HIGH
Global Citizen,globalcitizen.org/en,-11,HIGH
Global Integrity,globalintegrity.org,1,HIGH
Global News,globalnews.ca,-8,HIGH
Global Post,pri.org/programs/globalpost,-10,HIGH
Global Risk Insights (GRI),globalriskinsights.com,-7,HIGH
Global Slavery Index,globalslaveryindex.org,-1,VERY HIGH
Global Times (China),globaltimes.cn,-10,HIGH
Global Voices,globalvoices.org,-18,HIGH
Globe Gazette (Iowa),globegazette.com,-3,HIGH
Globe Today,globetoday.com,-22,MIXED
Good Magazine,good.is,-21,HIGH
GoodNewsNetwork,goodnewsnetwork.org,1,HIGH
GOP.com,gop.com,24,MIXED
GOPOCALYPSE,gopocalypse.org,-28,MIXED
GOPUSA,gopusa.com,29,MIXED
